link,title,district,description,price
https://www.list.am/item/20732614,"Աջափնյակ, 3 սեն., 78 ք.մ., 11/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Շինարարների փողոցում, 78 ք.մ., նախավերջին հարկ",159000
https://www.list.am/item/20771867,"Աջափնյակ, 2 սեն., 77 ք.մ., 4/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Բաշինջաղյան փողոցում, 77 ք.մ., 4/14 հարկ, կապիտալ վերանորոգված",91900
https://www.list.am/item/20722972,"Աջափնյակ, 3 սեն., 78 ք.մ., 2/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Մարգարյան 1-ին նրբանցք, 78 ք.մ., 2/5 հարկ, 2 սանհանգույց, մի քանի պատշգամբ",115000
https://www.list.am/item/18657723,"Աջափնյակ, 3 սեն., 80 ք.մ., 5/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Աջափնյակ վարչական շրջան, 80 ք.մ., կապիտալ վերանորոգված, քարե շենք",107000
https://www.list.am/item/19603783,"Աջափնյակ, 3 սեն., 80 ք.մ., 5/15 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Նորաշեն թաղամաս, 80 ք.մ., 5/15 հարկ, 2 սանհանգույց, կապիտալ վերանորոգված",123000
https://www.list.am/item/18024973,"Աջափնյակ, 3 սեն., 78 ք.մ., 2/4 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Աջափնյակում, 78 ք.մ., 2/4 հարկ, բարձր առաստաղներ",110000
https://www.list.am/item/20391700,"Աջափնյակ, 3 սեն., 72 ք.մ., 1/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Նազարբեկյան թաղամաս, 72 ք.մ., մի քանի պատշգամբ, 1/9 հարկ",125000
https://www.list.am/item/19340528,"Աջափնյակ, 3 սեն., 80 ք.մ., 9/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Աբելյան փողոցում, 80 ք.մ., 2 սանհանգույց, կապիտալ վերանորոգված",128000
https://www.list.am/item/20640303,"Աջափնյակ, 3 սեն., 79 ք.մ., 11/13 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում Արզումանյան փողոցում, 79 ք.մ., 11/13 հարկ, 2 սանհանգույց",122000
https://www.list.am/item/15631949,"Աջափնյակ, 3 սեն., 80 ք.մ., 5/5 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Մարգարյան փողոցում, 80 ք.մ., բարձր առաստաղներ, կապիտալ վերանորոգված, քարե շենք",107000
https://www.list.am/item/20885177,"Աջափնյակ, 3 սեն., 70 ք.մ., 5/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան Մարգարյան փողոցում, 70 ք.մ., 5/9 հարկ, կապիտալ վերանորոգված",120000
https://www.list.am/item/20246276,"Աջափնյակ, 2 սեն., 70 ք.մ., 2/12 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում, Նորաշեն թաղամաս, 70 ք.մ., 2/12 հարկ, կապիտալ վերանորոգված",105000
https://www.list.am/item/20267079,"Աջափնյակ, 2 սեն., 78 ք.մ., 12/14 հարկ",Աջափնյակ,"2 սենյականոց բնակարան Բաշինջաղյան փողոցում, 78 ք.մ., 12/14 հարկ, մի քանի պատշգամբ",90000
https://www.list.am/item/20705808,"Աջափնյակ, 2 սեն., 70 ք.մ., 11/12 հարկ",Աջափնյակ,"2 սենյականոց բնակարան նորակառույց շենքում Շինարարների փողոցում, 70 ք.մ., նախավերջին հարկ",110000
https://www.list.am/item/20499177,"Աջափնյակ, 2 սեն., 80 ք.մ., 6/9 հարկ",Աջափնյակ,"2 սենյականոց բնակարան, Նազարբեկյան թաղամաս, 80 ք.մ., 6/9 հարկ, մի քանի պատշգամբ",86000
https://www.list.am/item/19981937,"Աջափնյակ, 3 սեն., 78 ք.մ., 1/9 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Նազարբեկյան թաղամաս, 78 ք.մ., 1/9 հարկ, կապիտալ վերանորոգված",82000
https://www.list.am/item/20617675,"Աջափնյակ, 3 սեն., 80 ք.մ., 16/17 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Նորաշեն թաղամաս, 80 ք.մ., նախավերջին հարկ, 2 սանհանգույց, բարձր առաստաղներ",85000
https://www.list.am/item/18734307,"Աջափնյակ, 3 սեն., 71 ք.մ., 4/12 հարկ",Աջափնյակ,"3 սենյականոց բնակարան նորակառույց շենքում, Նորաշեն թաղամաս, 71 ք.մ., 4/12 հարկ, կապիտալ վերանորոգված",137000
https://www.list.am/item/19710044,"Աջափնյակ, 3 սեն., 80 ք.մ., 3/16 հարկ",Աջափնյակ,"3 սենյականոց բնակարան, Նորաշեն թաղամաս, 80 ք.մ., 3/16 հարկ, 2 սանհանգույց, կապիտալ վերանորոգված",97000
