battery,Year,Car_Brand,Name,mileage_in_km,price_in_usd,AGM,battery_price
,2019,Ram,2500,18254,31875,,
,2019,Ram,3500,80467,5625,,
,2020,Nissan,370 Z,38624,37500,,
,2022,Mercedes-Benz,450,7000,237000,Y,
,1992,Peugeot,605,300000,1500,,
,1995,Mercedes-Benz,609D,156000,15000,,
,2022,Porsche,718,451,,Y,
,2022,Porsche,718,20,,Y,
,2011,Audi,A7,180000,21000,,
,2020,Audi,A7,28700,82500,Y,
,2011,Mitsubishi,ASX,173809,11800,,
,2003,Toyota,Aristo,151000,14300,,
,2019,Renault,Arkana,77000,18500,,
,2008,Nissan,Armada,151278,19000,,
,2021,Volkswagen,Arteon,51499,9375,Y,
,2019,Toyota,Avalon,85295,13750,,
,2018,Hyundai,Avante,25152,15000,,
,2021,Lincoln,Aviator,35406,15000,,
,2019,FAW,Besturn B50,45000,14800,,
,2022,Citroen,C3,30,14815,,
,2023,Volvo,C40,1250,62500,Y,
,2023,Volvo,C40,10,58125,Y,
,2022,Cadillac,CT6,2500,,,
,2019,Cadillac,CTS,128748,6000,,
,2023,Mazda,CX 50,1600,35000,,
,2023,Mazda,CX 50,16000,34700,,
,2008,Mazda,CX7,265542,8500,,
,2008,Mazda,CX7,150000,6500,,
,2007,Kia,Carens,165700,6500,,
,2018,Kia,Carnival,45000,29500,,
,2012,Kia,Cerato,262000,7987,,
,2011,Kia,Cerato,127000,8300,,
,2001,Mitsubishi,Chariot,33580,5200,,
,2018,Mini,Clubman,37015,23700,,
,2023,Chevrolet,Cobalt,10,19506,,
,2023,Lincoln,Continental,3238,,,
,2019,Lincoln,Continental,61960,20937.5,,
,2010,Bentley,Continental Flying Spur,160000,28500,,
,1991,Chevrolet,Corsica,100000,3500,,
,2015,Dodge,Dart,190000,11000,,
,2004,Mitsubishi,Delica,150000,15500,,
,2017,Renault,Duster,250000,,,
,2019,Lotus,Elise,5844,81250,,
,2020,Ford,Escort,17328,5500,,
,2007,Toyota,Estima,280000,10800,,
,2020,Lotus,Europa,14323,96250,,
,2022,Ford,Expedition,33796,29375,,
,2019,Ford,Expedition,107826,26250,,
,2010,Chevrolet,Express,95000,13500,,
,2017,Chevrolet,Express,50387,16250,,
,2016,Ferrari,F12,30000,195000,,
,2019,Volvo,FH,310000,,Y,
,2022,Toyota,FJ Cruiser,10,75000,,
,2006,Toyota,FJ Cruiser,225000,28900,,
,1987,Cadillac,Fleetwood,120701,,,
,2019,Ford,Flex,77249,4750,,
,2012,Infiniti,G25,175000,10300,,
,2003,Infiniti,G35,192000,4800,,
,2009,Infiniti,G37,183465,8300,,
,2022,Genesis,GV80,6500,83000,,
,2022,Hyundai,Genesis,20000,77500,,
,2023,Wuling,Golf Car,11,13210,,
,2023,Wuling,Golf Car,11,10988,,
,2003,Mitsubishi,Grandis,234000,6500,,
,2004,Mitsubishi,Grandis,210000,7333,,
,2023,Chevrolet,Groove,13,30617,,
,2013,Hyundai,H-1,226000,13800,,
,2004,Hummer,H2,130000,32000,,
,2009,Hummer,H3,140000,24000,,
,2010,Lexus,HS 250,175418,13200,,
,2010,Lexus,HS 250,140000,14500,,
,2023,Toyota,Hiace,500,42000,,
,2016,Toyota,Hiace,53000,37500,,
,2022,Lamborghini,Huracan,20,,Y,
,2015,Lamborghini,Huracan,60000,275000,Y,
,2020,Kia,K7,34380,33200,,
,2017,Renault,Kaptur,44700,15300,,
,2022,Iran,Khodro Dena,2000,14500,,
,2023,Skoda,Kodiaq,17000,17500,,
,2014,Ford,Kuga,132000,14815,,
,2023,Lexus,LC 500h,991,107500,Y,
,2019,Lincoln,LS,85295,10000,,
,2022,Lexus,LX 500d,40,233700,Y,
,2022,Cadillac,LaSalle,30,65000,,
,2017,Mitsubishi,Lancer,128748,12700,,
,2009,Mitsubishi,Lancer,190000,6800,,
,2020,Toyota,Land Cruiser 80,45712,82125,,
,1995,Toyota,Land Cruiser 80,15000,18500,,
,2012,Jeep,Liberty,183000,15500,,
,2021,Jeep,Liberty,16925,27750,,
,2012,Infiniti,M37 Sport,92000,9900,,
,2013,BMW,M6,151000,55000,Y,
,2021,Lincoln,MKC,30578,9875,,
,2019,Lincoln,MKT,104607,5000,,
,2015,Lincoln,MKX,144841,21900,,
,2010,Daewoo,Matiz,270000,2469,,
,2022,Ford,Maverick,48280,17500,,
,2022,Chevrolet,Menlo,12500,20247,,
,2014,Nissan,Micra,210000,4500,,
,2000,Mazda,Millenia,167000,5500,,
,2017,Kia,Mohave,32187,36000,,
,2022,Mitsubishi,Montero,50,50000,,
,2019,Nissan,NV200,70000,5625,,
,2019,Nissan,NV200,12474,7000,,
,2007,Mitsubishi,Nativa,230000,14000,,
,1998,Lincoln,Navigator,170000,10000,,
,2019,Lincoln,Navigator,59546,10000,,
,2019,Volkswagen,New Beetle,40000,17000,Y,
,2019,Volkswagen,New Beetle,82077,4375,Y,
,2023,Chevrolet,Onix,11,27901,,
,2023,Chevrolet,Onix,11,28642,,
,2007,Peugeot,Partner,250000,3704,,
,2011,Peugeot,Partner,152000,6400,,
,2010,Volkswagen,Phaeton,191000,14000,,
,2007,Kia,Picanto,187787,5800,,
,2005,Volkswagen,Polo,190000,5700,,
,2022,Audi,Q4,13000,89700,Y,
,2001,Infiniti,QX4,280000,6300,,
,2016,Infiniti,QX70,160934,30000,Y,
,2018,Nissan,Qashqai,37000,17300,,
,2017,Nissan,Quest,130357,19000,,
,2010,Mercedes-Benz,R 350,200000,11000,,
,2006,Mercedes-Benz,R 350,66000,10000,,
,2019,Audi,RS2,45062,7500,Y,
,2023,Audi,RSQ8,50,177000,Y,
,2017,Honda,Ridgeline,16000,23375,,
,1999,Isuzu,Rodeo,98000,5500,,
,2021,Audi,S3,25000,,Y,
,2021,Audi,S3,8500,,Y,
,2023,Audi,S4,848,57500,Y,
,2023,Audi,S4,848,57250,Y,
,2021,Audi,S7,2967,,Y,
,2021,Audi,S7,27967,,Y,
