export_in_tonn,export_in_1000_,import_in_tonn,import_in_1000_,product_id,date,product_name,export_percent,import_percent
70.7698,782.77611,938.012224,4175.47664,4011,2023-01,tyres,5%,4.5%
86.376,911.49769,484.97073,2234.1697,4011,2023-02,tyres,6%,2%
107.541357,748.22085,1673.531671,6336.12977,4011,2023-03,tyres,6.5%,7.5%
294.1844,3658.83862,1980.171134,7187.43941,4011,2023-04,tyres,23.5%,8.5%
159.1547,1930.1558,2771.294525,4926.33919,4011,2023-05,tyres,12.5%,8%
143.3564,1566.19053,6158.409603,5737.721,4011,2023-06,tyres,11%,13.5%
102.756,1343.42177,1326.880252,4716.87582,4011,2023-07,tyres,8.5%,5.5%
103.6734,1017.03007,6810.458433,6374.67056,4011,2023-08,tyres,7.5%,15%
139.47109,1508.52826,3549.04294,10408.60842,4011,2023-09,tyres,10%,13%
97.923,990.86784,2193.086379,6961.6618,4011,2023-10,tyres,7%,8.5%
18.62,207.63908,1326.746452,3446.76387,4011,2023-11,tyres,1%,4.5%
6.2993,26.61424,4924.967686,2308.25641,4011,2023-12,tyres,0%,9%
0.73488,2.284,638.143919,2379.72182,4011,2022-01,tyres,0%,4%
98.69653,342.79544,1017.758683,3561.34146,4011,2022-02,tyres,8%,6%
72.98954,323.81096,783.070308,2865.71726,4011,2022-03,tyres,6.5%,5%
176.48184,662.90219,1669.695706,6271.0831,4011,2022-04,tyres,14%,11%
24.92667,165.17359,1238.738644,4500.90734,4011,2022-05,tyres,2.5%,8%
86.248,448.8812,691.405322,2609.7597,4011,2022-06,tyres,7.5%,4.5%
0.1522,69.17296,1131.307976,4219.30808,4011,2022-07,tyres,0.5%,7.5%
91.425,873.19129,1661.984617,3350.52465,4011,2022-08,tyres,11%,8.5%
24.8874,246.16676,2006.327455,7935.58305,4011,2022-09,tyres,3%,13.5%
76.345,812.1193,2230.148724,7875.26227,4011,2022-10,tyres,9.5%,14%
149.5446,1675.88661,1604.445028,5004.20396,4011,2022-11,tyres,20%,9.5%
115.3979,1463.37048,1047.157319,4324.85402,4011,2022-12,tyres,17%,7.5%
0,0,380.438194,1367.33143,4011,2021-01,tyres,0%,3%
0.06957,2.65668,690.682358,1813.68504,4011,2021-02,tyres,1%,4.5%
0,0,1096.182128,3053.87984,4011,2021-03,tyres,0%,7.5%
3.44,11.42,1240.309141,3735.5661,4011,2021-04,tyres,7.5%,8.5%
0,0,995.141546,2676.13974,4011,2021-05,tyres,0%,6.5%
0.13012,0.72877,777.879065,2089.82762,4011,2021-06,tyres,0.5%,5.5%
1.08,6.95,844.797528,3047.39131,4011,2021-07,tyres,3.5%,6.5%
0,0,590.512547,1819.15551,4011,2021-08,tyres,0%,4%
0.529,0.24,1475.487036,5086.45083,4011,2021-09,tyres,0.5%,11%
24.183,80.39,1995.356841,6770.41697,4011,2021-10,tyres,53.5%,15%
17.34,26.27531,2141.499862,7532.09886,4011,2021-11,tyres,27.5%,16.5%
1.3225,11.60629,1398.021259,5305.48093,4011,2021-12,tyres,5.5%,11%
0,0,491.412568,1411.19935,4011,2020-01,tyres,0%,3.5%
0,0,886.102151,2174.81928,4011,2020-02,tyres,0%,6%
0,0,1753.04157,2944.44499,4011,2020-03,tyres,0%,10%
0,0,929.442644,2873.40958,4011,2020-04,tyres,0%,7%
0,0,1312.396462,3337.49423,4011,2020-05,tyres,0%,9%
13.06001,153.69445,1331.631861,3311.27657,4011,2020-06,tyres,94.5%,9%
0.05,0.25,1016.289624,2904.09357,4011,2020-07,tyres,0%,7.5%
0.00292,0.89784,1503.632818,4342.39146,4011,2020-08,tyres,0.5%,11%
0.89201,0.40902,1672.933597,4482.23769,4011,2020-09,tyres,3%,11.5%
1e-05,0.00913,1652.840464,4114.98059,4011,2020-10,tyres,0%,11%
0,0,983.438097,2605.00177,4011,2020-11,tyres,0%,7%
0.4425,0.33524,1158.836435,3227.35349,4011,2020-12,tyres,1.5%,8.5%
0.32,0.2307,608.235283,1868.11882,4011,2019-01,tyres,1.5%,4%
0.2,0.37664,957.646477,3540.11431,4011,2019-02,tyres,1%,7.5%
1.1425,1.004,769.775092,2485.7248,4011,2019-03,tyres,5.5%,6%
5.094,10.25246,1341.176731,3897.64285,4011,2019-04,tyres,35.5%,9.5%
0,0,737.934767,2661.32966,4011,2019-05,tyres,0%,5.5%
6.6225,9.25939,1212.961207,3425.19325,4011,2019-06,tyres,38%,8.5%
0.3601,0.88283,1131.47415,3445.09427,4011,2019-07,tyres,2.5%,8%
0.2672,0.738,1439.456971,4498.09659,4011,2019-08,tyres,2.5%,10.5%
0.494,0.24,1746.229035,4953.76113,4011,2019-09,tyres,2%,12.5%
0,0,1593.516848,3518.89172,4011,2019-10,tyres,0%,10%
1.248,3.0878,1254.238018,4178.84579,4011,2019-11,tyres,10%,9.5%
0.258,0.22,1027.286062,3347.14043,4011,2019-12,tyres,1.5%,7.5%
70.07979,92.40318,560.25257,1464.54718,4011,2018-01,tyres,12.5%,4%
33.9896,10.04045,801.052289,2418.29415,4011,2018-02,tyres,4%,6%
118.59516,259.02747,924.131608,2759.48743,4011,2018-03,tyres,27.5%,7%
123.22281,324.72889,903.744642,2665.16665,4011,2018-04,tyres,31.5%,7%
25.34384,15.2835,1340.318086,3531.92025,4011,2018-05,tyres,3.5%,9.5%
30.13137,28.6303,1070.378632,2603.46483,4011,2018-06,tyres,4.5%,7.5%
32.5211,13.2784,779.9471,2527.60404,4011,2018-07,tyres,4%,6.5%
17.76098,12.81165,1497.383132,3317.996,4011,2018-08,tyres,3%,10%
13.7402,14.82228,1668.706398,4799.64287,4011,2018-09,tyres,2.5%,12%
20.40946,21.64555,1901.26666,5706.36151,4011,2018-10,tyres,3.5%,14.5%
14.71142,26.53694,1114.013858,3511.93121,4011,2018-11,tyres,3%,8.5%
